device_name,manage_ip,produce,os_software_version,device_type,serial_number,login_u_p,location,warranty_expiration,service_contract,last_modification_timestamp,initialization_timestamp,comments,device_op
pnr01isp,172.25.20.128,ISR4451-X/K9,isr4400-universalk9.03.16.04b.S.155-3.S4b-ext.SPA.bin,router,FGL202511HA,AD,SH-IDC,9/18/2019,95598639,2020-07-06 16:36:54,2020-07-01 15:19:16,CISCO ID:bby-network,正常(Normal)
pnr01nso,172.25.18.165,ISR4451-X/K9,isr4400-universalk9.03.16.03.S.155-3.S3-ext.SPA.bin,router,FGL202511HE,AD,SH-IDC,6/30/2021,95598639,2020-07-06 16:37:29,2020-07-01 15:38:54,CISCO ID:bby-network,正常(Normal)
PSP03BKUP,172.25.16.62,HP DL360p G8,,server,,,SH-IDC,,,2020-07-06 15:46:27,2020-07-06 15:28:22,,正常(Normal)
PSP02TL,172.25.16.31,HP Tape LibraryMSL2024,,other,,,SH-IDC,,,2020-07-06 15:34:42,2020-07-06 15:30:06,,正常(Normal)
NETAPP,172.25.17.70,NETAPP,,other,,,SH-IDC,,,2020-07-06 15:34:49,2020-07-06 15:31:55,,正常(Normal)
PDW40MADIN610, 172.25.16.23, HP DL380 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:34:55,2020-07-06 15:32:22,,正常(Normal)
PSP04OMS,172.25.16.50,Vmware,,server,,,SH-IDC,,,2020-07-06 15:35:01,2020-07-06 15:32:54,,正常(Normal)
 PSP03IAS , 172.25.16.9 , Vmware ,,server,,,SH-IDC,,,2020-07-06 15:35:07,2020-07-06 15:34:09,,正常(Normal)
 PSP04FC1 , 172.25.16.47 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:46:54,2020-07-06 15:35:42,,正常(Normal)
 PDW40TREND001 , 172.25.16.54 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:00,2020-07-06 15:36:00,,正常(Normal)
 PDW40TREND002 , 172.25.16.55 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:16,2020-07-06 15:36:16,,正常(Normal)
 PSP01CAR , 172.25.16.56 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:31,2020-07-06 15:36:31,,正常(Normal)
 PSP01Legal , 172.25.16.57 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:46,2020-07-06 15:36:46,,正常(Normal)
 PSP10UTIL , 172.25.16.58 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:37:44,2020-07-06 15:37:44,,正常(Normal)
 PDW40MADUT300 , 172.25.16.60 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:05,2020-07-06 15:38:05,,正常(Normal)
 PDW40MADTS600 , 172.25.16.61 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:20,2020-07-06 15:38:20,,正常(Normal)
 PSP05MON , 172.25.16.200 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:34,2020-07-06 15:38:34,,正常(Normal)
 PSP15UTIL , 172.25.16.70 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:49,2020-07-06 15:38:49,,正常(Normal)
 PDW40MADIN601 , 172.25.16.66 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:39:15,2020-07-06 15:39:15,,正常(Normal)
 PSP01SEC , 172.25.16.67 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:39:28,2020-07-06 15:39:28,,正常(Normal)
